path	lines	last_commit_iso	commits_24m
modules/ads-txt/admin/class-advanced-ads-ads-txt-admin.php	487	2024-11-29T12:02:46+03:00	3
modules/ads-txt/public/class-advanced-ads-ads-txt-public.php	172	2025-02-26T14:45:10+01:00	3
modules/gadsense/admin/admin.php	282	2024-11-29T12:02:46+03:00	3
modules/gadsense/admin/views/adsense-account.php	325	2024-11-14T17:42:08+03:00	3
modules/gadsense/admin/views/adsense-ad-parameters.php	198	2026-01-29T16:54:06+05:00	3
modules/gadsense/includes/class-gadsense-data.php	162	2024-06-04T09:55:49+02:00	3
modules/gadsense/public/public.php	214	2025-05-19T20:27:29+05:30	3
modules/one-click/modules/adstxt/class-detector.php	136	2025-01-14T12:23:21+01:00	3
modules/pef/class-module.php	206	2025-04-08T19:23:01+03:00	3
public/views/ad-debug.php	27	2025-05-19T20:27:29+05:30	3
tests/Unit/Ads/Concrete/AdPlainTest.php	247	2026-03-08T11:37:47+03:00	3
tests/Unit/Ads/ManagerTest.php	21	2026-03-08T11:37:47+03:00	3
tests/Unit/Groups/ManagerTest.php	21	2026-03-08T11:37:47+03:00	3
tests/Unit/Importers/ApiTest.php	350	2026-04-14T19:05:42+03:00	3
tests/Unit/Placements/CRUDTest.php	143	2026-04-14T19:05:42+03:00	3
tests/Unit/Placements/PlacementTest.php	58	2026-03-08T11:37:47+03:00	3
tests/bootstrap.php	37	2026-03-08T11:37:47+03:00	3
views/admin/ads/submitbox-meta.php	63	2025-08-27T01:04:31+05:30	3
views/admin/support/faqs.php	85	2026-03-16T22:41:06+03:00	3
views/admin/welcome-box.php	36	2024-07-04T16:32:59+03:00	3
views/admin/widgets/aa-dashboard/next-steps/newsletter.php	77	2025-02-03T17:39:30+05:30	3
views/admin/widgets/aa-dashboard/support.php	46	2024-11-18T17:19:46+01:00	3
admin/includes/class-ad-network-ad-unit.php	115	2026-01-19T18:29:50+05:00	2
admin/includes/class-ad-network.php	468	2024-11-25T09:53:27+03:00	2
admin/views/ad-conditions-string-operators.php	24	2026-02-10T00:30:22+05:00	2
admin/views/checks.php	40	2026-03-13T14:30:49+03:00	2
admin/views/conditions/condition-author.php	74	2024-11-28T14:52:04+03:00	2
admin/views/modal.php	79	2026-02-18T01:42:35+05:00	2
admin/views/placements-item.php	70	2024-11-28T14:52:04+03:00	2
classes/inline-css.php	123	2024-10-25T05:52:52+03:00	2
deprecated/Group_Repository.php	35	2024-06-04T09:55:49+02:00	2
deprecated/ad-model.php	21	2025-03-18T11:23:42+01:00	2
deprecated/ad_group.php	16	2024-06-04T09:55:49+02:00	2
deprecated/class-admin.php	44	2025-03-07T12:28:41+01:00	2
deprecated/in-content-injector.php	53	2026-04-15T16:30:05+03:00	2
includes/abstracts/abstract-placement-type.php	174	2026-02-17T05:42:56+05:00	2
includes/admin/ads/class-list-table.php	476	2026-02-18T17:01:53+05:00	2
includes/admin/class-admin-notices.php	80	2025-02-24T10:02:02+03:00	2
includes/admin/class-post-list.php	192	2025-01-29T19:01:22+03:00	2
includes/admin/class-welcome.php	76	2024-07-04T16:32:59+03:00	2
includes/admin/pages/class-support.php	117	2026-03-16T22:41:06+03:00	2
includes/admin/placements/class-ajax.php	100	2026-02-17T05:42:56+05:00	2
includes/admin/placements/class-edit-modal.php	395	2026-04-16T18:48:30+03:00	2
includes/admin/placements/class-quick-edit.php	74	2026-04-15T16:30:05+03:00	2
includes/class-post-data.php	53	2025-08-13T11:55:35+03:00	2
includes/class-widget.php	303	2025-07-28T16:47:21+05:30	2
includes/compatibility/class-aawp.php	59	2025-02-28T10:15:20+01:00	2
includes/compatibility/class-admin-compatibility.php	103	2026-02-23T19:43:52+05:00	2
includes/compatibility/class-capability-manager.php	157	2025-02-10T14:28:59+03:00	2
includes/frontend/class-manager.php	67	2025-05-09T19:00:14+03:00	2
includes/frontend/class-stats.php	74	2024-12-02T16:28:13+03:00	2
includes/groups/class-group-ad-relation.php	123	2026-03-08T11:41:46+03:00	2
includes/groups/types/type-unknown.php	92	2026-02-17T05:42:56+05:00	2
includes/importers/abstract-importer.php	104	2026-03-05T00:26:27+03:00	2
includes/license/class-license.php	140	2026-03-08T11:37:47+03:00	2
includes/placements/types/class-unknown.php	112	2026-02-17T05:42:56+05:00	2
includes/rest/class-groups.php	169	2025-02-10T14:28:59+03:00	2
includes/rest/class-page-quick-edit.php	60	2024-11-23T05:28:27+03:00	2
modules/ad-blocker/admin/admin.php	556	2025-02-24T12:02:09+01:00	2
modules/adblock-finder/admin/admin.php	70	2024-11-23T05:28:27+03:00	2
modules/adblock-finder/admin/views/setting-ga.php	26	2024-11-28T14:52:04+03:00	2
modules/gadsense/admin/views/connect-adsense.php	148	2024-11-28T14:52:04+03:00	2
modules/gadsense/includes/class-adsense-report-data.php	333	2025-02-17T10:58:55+01:00	2
modules/gadsense/includes/class-adsense-report.php	176	2025-02-17T10:58:55+01:00	2
modules/one-click/modules/adstxt/class-adstxt.php	66	2024-08-21T16:07:22+03:00	2
modules/one-click/modules/class-header-bidding.php	107	2024-08-22T14:42:32+03:00	2
modules/pef/views/template.php	138	2025-04-08T19:23:01+03:00	2
modules/privacy/admin/admin.php	212	2024-12-17T15:49:05+03:00	2
modules/privacy/admin/views/setting-general.php	115	2024-12-17T15:31:28+03:00	2
packages/advanced-ads/framework/src/form/class-field.php	189	2026-02-13T06:25:13+05:00	2
packages/advanced-ads/framework/src/utilities/class-params.php	141	2025-02-28T14:00:51+03:00	2
tests/Unit/Core/InContentInjectorXPathTest.php	163	2026-04-16T14:48:06+03:00	2
tests/Unit/Placements/ManagerTest.php	21	2026-03-08T11:37:47+03:00	2
upgrades/upgrade-1.52.1.php	41	2024-07-02T12:42:22+02:00	2
views/admin/ads/info-bottom.php	34	2026-02-14T19:00:36+05:00	2
views/admin/groups/filters.php	39	2026-02-18T17:01:53+05:00	2
views/admin/groups/page.php	19	2026-02-18T17:01:53+05:00	2
views/admin/page-bulk-edit.php	47	2025-02-04T09:53:53+03:00	2
views/admin/page-quick-edit.php	36	2025-02-04T09:53:53+03:00	2
views/admin/placements/edit-modal/fields/content-index.php	55	2026-04-16T18:48:30+03:00	2
views/admin/screen-options.php	27	2026-02-17T05:42:56+05:00	2
views/admin/support/arrow.php	20	2026-04-14T19:05:42+03:00	2
views/admin/support/faqs/activate-license.php	38	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/cached-websites.php	21	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/manage-ads-across-multiple-installations.php	21	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/prevent-click-fraud.php	21	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/share-statistics.php	21	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/subscription-not-working.php	21	2026-03-08T11:37:47+03:00	2
views/admin/support/faqs/video-ads.php	46	2026-03-08T11:37:47+03:00	2
views/admin/support/videos.php	50	2026-03-16T22:41:06+03:00	2
views/admin/tables/ads/column-type.php	37	2025-02-24T12:27:39+01:00	2
views/admin/widgets/aa-dashboard/next-steps/widget.php	61	2024-11-12T14:58:05+01:00	2
views/admin/widgets/aa-dashboard/overview-notices.php	41	2025-02-07T10:55:13+01:00	2
views/admin/widgets/wordpress-dashboard/header.php	31	2024-11-14T17:42:08+03:00	2
views/admin/widgets/wordpress-dashboard/newsletter.php	51	2024-11-14T17:42:08+03:00	2
views/admin/widgets/wordpress-dashboard/performing-ads.php	59	2024-09-18T16:28:04+02:00	2
admin/includes/class-plugins-screen-updates.php	138	2026-04-06T17:04:02+03:00	1
admin/views/ad-list/preview-image.php	26	2026-02-03T18:43:20+03:00	1
admin/views/conditions/condition-device.php	35	2024-12-02T17:25:25+03:00	1
admin/views/conditions/condition-is-or-not.php	32	2024-10-16T12:37:59+02:00	1
admin/views/conditions/condition-operator.php	15	2024-11-28T14:52:04+03:00	1
admin/views/conditions/conditions-form.php	49	2026-02-03T18:43:20+03:00	1
admin/views/conditions/display-conditions-list.php	100	2024-11-28T14:52:04+03:00	1
admin/views/conditions/no-option.php	21	2024-11-14T17:42:08+03:00	1
admin/views/conditions/visitor-conditions-list.php	54	2024-12-04T09:06:34+03:00	1
admin/views/notices/error.php	18	2024-12-04T09:06:34+03:00	1
admin/views/notices/info.php	29	2024-11-29T12:02:46+03:00	1
admin/views/notices/inline.php	22	2024-09-05T11:33:17+02:00	1
admin/views/notices/promo.php	46	2024-11-29T12:02:46+03:00	1
admin/views/notices/starter-setup-success.php	30	2024-12-04T09:06:34+03:00	1
admin/views/notices/subscribe.php	20	2024-09-05T11:33:17+02:00	1
admin/views/overview-addons-line.php	26	2026-02-03T18:43:20+03:00	1
admin/views/overview-widget.php	16	2024-11-18T17:19:46+01:00	1
admin/views/placement-form.php	79	2024-11-14T17:42:08+03:00	1
admin/views/placements-ad-label.php	24	2024-11-28T14:52:04+03:00	1
admin/views/placements-inline-css.php	15	2024-11-28T14:52:04+03:00	1
admin/views/post-list-filter-dropdown.php	29	2026-02-03T18:43:20+03:00	1
admin/views/setting-license.php	102	2024-11-14T17:42:08+03:00	1
admin/views/support-callout.php	18	2024-07-05T02:36:47+03:00	1
admin/views/upgrades/adsense-amp.php	16	2024-11-21T17:15:31+03:00	1
admin/views/upgrades/pro-placements.php	96	2024-11-21T17:15:31+03:00	1
admin/views/upgrades/repeat-the-position.php	13	2024-11-21T17:15:31+03:00	1
assets/dist/frontend-picker.asset.php	1	2026-04-16T14:48:06+03:00	1
deprecated/Ad_Repository.php	27	2024-06-04T09:55:49+02:00	1
deprecated/ad-ajax.php	15	2024-06-07T20:39:24+03:00	1
deprecated/ad-debug.php	15	2024-06-04T09:55:49+02:00	1
deprecated/ad-select.php	150	2024-06-04T09:55:49+02:00	1
deprecated/ad_type_abstract.php	16	2024-06-04T09:55:49+02:00	1
deprecated/class-advanced-ads-plugin.php	69	2025-03-07T12:28:41+01:00	1
deprecated/deprecated-functions.php	52	2024-06-04T09:55:49+02:00	1
includes/admin/ads/class-ajax.php	27	2026-02-16T21:27:17+05:00	1
includes/admin/ads/class-quick-bulk-edit.php	374	2026-02-18T17:01:53+05:00	1
includes/admin/class-action-links.php	175	2024-07-05T02:36:47+03:00	1
includes/admin/class-page-quick-edit.php	134	2024-07-29T22:45:27+03:00	1
includes/admin/class-shortcode-creator.php	202	2024-06-27T01:43:28+03:00	1
includes/admin/class-system-info.php	291	2024-11-28T14:52:04+03:00	1
includes/admin/class-translation-promo.php	456	2024-12-04T09:06:34+03:00	1
includes/admin/groups/class-ajax.php	27	2026-02-16T21:27:17+05:00	1
includes/admin/groups/class-create-modal.php	47	2026-02-18T01:42:35+05:00	1
includes/admin/groups/class-edit-modal.php	37	2026-02-18T01:42:35+05:00	1
includes/admin/placements/class-bulk-edit.php	108	2026-02-14T19:00:36+05:00	1
includes/admin/placements/class-create-modal.php	56	2026-02-14T19:00:36+05:00	1
includes/ads/class-ad-content.php	65	2024-06-04T09:55:49+02:00	1
includes/ads/class-ad-dummy.php	57	2024-06-04T09:55:49+02:00	1
includes/ads/class-ad-group-relation.php	114	2025-04-25T11:19:52+03:00	1
includes/ads/class-ad-image.php	88	2024-06-04T09:55:49+02:00	1
includes/ads/types/type-content.php	161	2025-07-31T15:15:21+03:00	1
includes/ads/types/type-group.php	125	2024-06-04T09:55:49+02:00	1
includes/ads/types/type-unknown.php	130	2025-02-28T10:15:20+01:00	1
includes/array_ad_conditions.php	95	2024-07-03T23:55:47+03:00	1
includes/class-modal.php	106	2024-07-05T02:36:47+03:00	1
includes/class-modules.php	92	2024-08-01T18:12:45+03:00	1
includes/compatibility/class-aawp-ad.php	59	2025-02-28T10:15:20+01:00	1
includes/compatibility/class-inline-js.php	115	2024-07-05T02:36:47+03:00	1
includes/compatibility/class-peepso-ad.php	88	2025-02-28T10:15:20+01:00	1
includes/functions-components.php	45	2026-02-23T23:53:14+05:00	1
includes/groups/class-group-slider.php	60	2026-02-03T02:45:12+03:00	1
includes/groups/types/type-grid.php	75	2026-02-16T21:27:17+05:00	1
includes/groups/types/type-ordered.php	75	2026-02-16T21:27:17+05:00	1
includes/groups/types/type-slider.php	75	2026-02-16T21:27:17+05:00	1
includes/groups/types/type-standard.php	75	2026-02-16T21:27:17+05:00	1
includes/importers/class-xml-encoder.php	347	2024-08-26T14:38:34+03:00	1
includes/installation/class-capabilities.php	169	2024-12-03T12:06:20+01:00	1
includes/installation/class-install.php	64	2025-02-28T14:46:26+01:00	1
includes/interfaces/interface-ad.php	25	2024-06-04T09:55:49+02:00	1
includes/interfaces/interface-entity.php	39	2026-02-03T02:45:12+03:00	1
includes/interfaces/interface-module.php	52	2024-08-01T18:12:45+03:00	1
includes/interfaces/interface-placement-type.php	75	2025-03-25T22:30:46+05:30	1
includes/placements/class-placement-types.php	114	2026-02-17T05:42:56+05:00	1
includes/rest/class-utilities.php	50	2024-09-18T16:22:03+02:00	1
includes/traits/class-extras.php	65	2024-07-05T02:36:47+03:00	1
includes/utilities/class-content-injection.php	64	2024-06-04T09:55:49+02:00	1
includes/utilities/class-testing.php	96	2024-11-18T13:00:04+03:00	1
modules/ad-blocker/admin/views/rebuild_form.php	75	2025-02-24T12:02:09+01:00	1
modules/ad-blocker/admin/views/setting-use-adblocker.php	37	2024-11-14T17:42:08+03:00	1
modules/ad-blocker/classes/plugin.php	176	2024-07-05T02:36:47+03:00	1
modules/ad-positioning/views/ad-spacing.php	49	2024-12-04T09:06:34+03:00	1
modules/ads-txt/admin/views/setting-additional-content.php	44	2024-11-14T17:42:08+03:00	1
modules/ads-txt/admin/views/setting-create.php	41	2024-12-04T09:06:34+03:00	1
modules/ads-txt/main.php	29	2024-05-19T22:11:37+03:00	1
modules/gadsense/admin/views/external-ads-links.php	60	2024-12-04T09:06:34+03:00	1
modules/gadsense/admin/views/external-ads-list.php	138	2024-12-04T09:06:34+03:00	1
modules/gadsense/config.php	19	2025-02-10T10:03:44+01:00	1
modules/gadsense/includes/adsense-report-api.php	172	2024-11-14T17:42:08+03:00	1
modules/one-click/class-options.php	59	2024-08-22T14:42:32+03:00	1
modules/one-click/class-page-parser.php	139	2024-11-23T05:28:27+03:00	1
packages/advanced-ads/framework/src/assets.php	59	2026-02-13T06:25:13+05:00	1
packages/advanced-ads/framework/src/form/class-field-checkbox.php	49	2026-02-13T06:25:13+05:00	1
packages/advanced-ads/framework/src/form/class-field-color.php	31	2026-02-13T06:25:13+05:00	1
